name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,team,position,unique_id
?aglar_S?y?nc?_515,0,61,0,0,0,11,0,10,55,4.6,0,0,1,2,1,0,2.2,17.4,0,90,0,1,107,0,1,0,0,1,0,390,0,28060,1,0,0,16,18,0,2,-11,276,287,582,7.0,0,0,132,24,234762
?lvaro_Morata_134,0,229,0,10,3,119,6,7,177,130.2,7,0,0,19,11,5,86.30000000000001,219.79999999999995,7,936,20,0,408,0,0,0,0,19,0,746,0,4518232,28,4,10,36,66,523,46,-131116,318019,449135,3262,19.0,2,3,228,152,192755
Aaron_Cresswell_402,1,810,1,0,0,257,1,70,659,290.9,5,0,0,2,26,0,72.3,318.2,17,1588,1,11,382,0,0,0,0,83,0,741,0,1595598,12,9,8,47,60,113,34,-76496,19457,95953,1939,19.0,0,1,722,76,579747
Aaron_Lennon_83,1,277,0,1,2,133,3,20,220,121.19999999999999,6,0,0,12,22,1,37.999999999999986,151.59999999999997,7,1214,0,3,412,0,1,0,0,43,0,741,0,1335600,19,13,1,53,60,108,41,-9126,131433,140559,1883,19.0,0,1,152,114,119111
Aaron_Mooy_199,1,1276,4,0,5,411,3,40,1023,725.1999999999998,21,0,0,26,48,3,159.70000000000002,510.79999999999995,43,2326,1,17,400,0,0,0,0,204,0,741,0,3363371,62,29,15,43,55,359,76,-145356,75745,221101,1950,19.0,1,4,380,114,286615
Aaron_Ramsey_14,6,773,2,2,4,298,9,11,633,387.19999999999993,12,0,0,21,13,4,131.00000000000003,418.4,25,1319,4,6,418,0,0,0,0,89,0,745,0,2655400,39,10,9,47,77,502,91,-47741,264728,312469,2756,19.0,1,0,38,114,19475
Aaron_Rowe_607,0,20,0,0,0,-2,0,2,13,1.2,1,0,0,2,1,0,0.0,0.0,0,68,0,0,116,0,1,0,0,3,0,306,0,327,6,0,0,13,19,0,2,43,85,42,405,4.0,0,0,90,27,195588
Aaron_Wan-Bissaka_145,3,1163,3,0,18,672,12,228,850,266.8,56,0,0,23,47,0,127.10000000000001,863.4000000000002,14,3134,2,11,406,0,1,0,0,204,1,742,0,62706682,68,59,4,55,49,139,120,705637,2487610,1781973,1660,19.0,0,4,266,76,208639
Abd-Al-Ali Morakinyo Olaposi_Koiki_564,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,215,0,0,0,0,0,0,588,0,4183,0,0,0,32,33,0,0,79,510,431,840,11.0,0,0,84,42,442953
Abdelhamid_Sabiri_205,0,8,0,0,0,6,0,1,7,0.5,0,0,0,0,3,0,0.7,4.2,0,48,0,0,400,0,0,0,0,2,0,741,0,126072,0,0,0,43,55,2,2,-2019,4596,6615,1647,19.0,0,0,380,114,295279
Abdoulaye_Doucour?_390,7,1940,8,5,14,550,5,91,1621,544.1000000000001,29,1,4,36,56,5,198.90000000000003,735.6,38,3061,2,2,384,1,0,0,0,258,0,744,0,4383615,68,19,14,54,57,709,124,145423,538456,393033,2248,19.0,0,7,684,114,562419
Aboubakar_Kamara_189,0,223,1,4,2,82,1,6,163,149.5,12,0,0,24,17,3,53.099999999999994,150.0,10,688,7,1,402,0,0,1,0,29,0,740,0,18503838,19,2,11,48,67,244,28,-337675,923261,1260936,1689,19.0,0,2,342,152,272175
Adalberto_Pe?aranda_554,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,254,0,0,0,0,0,0,653,0,18443,0,0,0,36,41,0,0,651,2734,2083,1250,12.0,0,0,450,100,521550
