team,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,position,unique_id
1,67,20786,64,42,153,7476,88,1272,17329,5826.30000000001,291,13,17,412,561,69,2218.5999999999985,9442.599999999984,363,37475,89,93,12060,2,7,1,0,2297,2,22774,132,174324766,648,246,170,1323,2238,6913,1644,-452794,12988507,13441301,60733,546.0,19,72,2840,5590855
2,51,15997,76,56,106,6896,111,1556,12520,5172.4000000000115,280,10,10,339,771,55,2002.6999999999985,8819.199999999999,334,37625,58,123,11265,3,5,2,0,2195,1,20822,107,198520127,642,189,178,1397,2029,6051,1500,1501600,13212816,11711216,49974,514.0,13,60,2798,4249786
3,27,14094,34,22,86,5753,80,1537,10549,4427.200000000011,279,5,12,463,660,35,1643.1000000000004,7678.199999999995,283,37375,90,124,11584,0,10,1,0,2267,4,21875,111,86857377,589,237,174,1257,1420,4352,1265,269540,5598479,5328939,51150,538.0,9,60,2822,6974598
4,39,13021,46,37,90,6076,89,1654,9155,4100.700000000007,195,6,16,360,748,42,1730.8000000000009,8251.399999999989,255,37549,105,114,11192,4,3,0,1,2250,1,20865,140,61841220,467,200,156,1453,1637,4984,1322,-562525,3285388,3847913,50696,522.0,9,75,2686,6987878
5,26,10250,28,26,79,5742,113,1633,6547,4362.100000000005,246,7,9,377,759,33,1716.5000000000016,7467.999999999999,296,37550,78,93,12139,0,7,1,3,2272,1,22490,141,56376284,556,248,180,1522,1545,5360,1355,660694,3862636,3204158,50862,564.0,10,66,3010,7057185
6,60,25069,79,58,153,8413,180,1011,21964,8133.000000000013,445,3,11,339,429,61,2549.900000000001,9383.599999999991,491,37510,83,84,11600,0,2,0,1,2375,0,21396,85,335949108,715,234,209,1016,1883,7993,1881,304159,16666571,16362412,63659,539.0,20,49,2798,7385489
7,47,15227,35,33,128,6807,135,1530,11702,5263.400000000007,354,5,12,383,583,48,2017.1999999999982,8697.600000000002,357,37516,78,89,11025,1,5,1,1,2299,2,20954,113,205658606,767,286,208,1531,1362,6214,1582,85884,9575720,9489836,50570,523.0,14,58,2611,10108086
8,44,16492,47,43,128,6912,153,1360,12765,5580.800000000003,307,7,14,429,506,53,2042.1000000000001,8354.19999999999,350,37347,68,135,13238,2,5,3,3,2440,4,24377,94,165991257,719,273,186,1475,1803,6507,1677,-20832,11464005,11484837,64169,625.0,14,55,3254,12444607
9,28,17686,50,45,66,6096,57,1518,14202,5319.900000000006,337,12,14,423,891,33,1853.9000000000005,8137.000000000001,353,37490,90,95,10965,3,7,1,1,2331,2,20797,146,86945881,692,246,192,1304,1795,5089,1135,-1004605,5152173,6156778,48567,518.0,7,68,2630,13818536
10,20,15918,26,23,59,5292,59,1296,12064,4570.300000000009,221,11,4,423,836,20,1572.4000000000005,6663.599999999997,282,37342,63,121,12282,1,8,0,1,2361,4,23344,114,66883303,613,265,169,1311,1698,4534,1073,-696131,2569371,3265502,52732,573.0,2,55,3033,11647810
11,44,17226,53,43,122,6914,108,1462,13639,5976.100000000018,375,4,21,351,528,48,2087.0000000000005,8599.799999999992,382,37305,72,107,11705,0,5,2,0,2313,5,22334,90,112406376,629,263,198,1388,1533,6296,1523,379069,7957014,7577945,55952,561.0,14,57,2836,12181298
12,73,23595,73,49,202,8868,234,1024,19919,6869.4000000000015,349,4,14,315,241,86,2492.199999999999,9836.999999999993,423,37417,77,107,9828,0,1,0,0,2367,2,18825,76,465262827,683,250,206,1094,1673,8213,2234,795631,20455534,19659903,58221,471.0,28,37,2400,10571091
13,85,26569,99,68,208,9299,213,965,23647,8597.8,424,2,12,328,253,91,2904.300000000001,10219.200000000004,515,37524,99,95,9554,0,4,1,0,2224,1,18171,58,363332571,700,240,229,1211,1636,10210,2230,4216090,26764825,22548735,61937,460.0,31,44,2300,9859714
14,54,19203,60,59,130,6976,83,1252,15797,5955.80000000001,306,8,19,433,594,65,2200.4,8947.400000000003,381,37466,90,79,11136,3,6,3,0,2214,4,21702,123,227293858,666,237,171,1602,1753,7099,1544,1423961,15308712,13884751,62980,541.0,19,73,2670,13135055
15,39,13465,34,27,104,6354,127,1759,9834,4869.700000000011,232,4,11,422,528,41,1856.6999999999998,8215.999999999995,322,37480,59,119,11606,1,6,2,0,2318,2,22851,96,44608229,595,283,182,1287,1418,5473,1457,29244,3315202,3285958,54676,562.0,12,57,2913,16090056
16,32,14278,48,49,100,6232,84,1744,10574,5167.700000000012,277,10,7,420,715,44,1944.6999999999994,8490.399999999998,341,37470,61,107,11988,3,3,1,1,2313,3,24154,114,80307748,593,276,185,1487,1923,5807,1336,1002945,6160704,5157759,55292,588.0,9,71,3118,16680614
