assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,elementStatus,element_type,element_type_id,element_type_singular_name,element_type_singular_name_short,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,iconInfo,ict_index,id,in_dreamteam,influence,infoStub,isElement,isTransfer,loaned_in,loaned_out,loans_in,loans_out,minutes,news,next_event_fixture,now_cost,own_goals,penalties_missed,penalties_saved,photo,photo_url,points_per_game,red_cards,saves,search_name,second_name,selected_by_percent,shirt_id,shirt_image_url,special,squad_number,status,team,team_code,team_name,team_short_name,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,,,0,48844,0,0,0,0,0.0,0,0,,1,1,Goalkeeper,GKP,3.8,3.3,0,David,0.0,0,0,ism-icon--info,0.0,1,False,0.0,,True,False,0,0,0,0,0,,STK (A),50,0,0,0,48844.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/48844.jpg,0.0,0,0,ospina,Ospina,0.2,3_1,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3_1.png,False,13,a,1,3,Arsenal,ARS,0.0,0,34,34,253,253,0.0,0.0,Ospina,0
0,0,9,,,0,11334,0,0,0,0,0.0,0,0,,1,1,Goalkeeper,GKP,5.0,4.5,1,Petr,1.0,3,0,ism-icon--info,1.2,2,False,12.2,,True,False,0,0,0,0,90,,STK (A),55,0,0,0,11334.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/11334.jpg,1.0,0,0,cech,Cech,6.0,3_1,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3_1.png,False,33,a,1,3,Arsenal,ARS,0.0,1,519,519,1831,1831,0.2,0.2,Cech,0
0,0,0,0,0,0,98980,0,0,0,0,0.0,0,0,0,1,1,Goalkeeper,GKP,0.0,0.0,0,Damian Emiliano,0.0,0,0,ism-icon--info--0,0.0,3,False,0.0,warn,True,False,0,0,0,0,0,Season-long loan to Getafe,STK (A),40,0,0,0,98980.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/98980.jpg,0.0,0,0,martinez,Martinez,1.1,3_1,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3_1.png,False,26,u,1,3,Arsenal,ARS,0.0,0,22,22,886,886,0.0,0.0,Martinez,0
0,0,0,0,0,0,51507,0,0,0,0,0.0,0,0,0,2,2,Defender,DEF,0.0,0.0,0,Laurent,0.0,0,0,ism-icon--info--0,0.0,4,False,0.0,warn,True,False,0,0,0,0,0,Suspended until 27 Aug,STK (A),60,0,0,0,51507.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/51507.jpg,0.0,0,0,koscielny,Koscielny,0.6,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,6,s,1,3,Arsenal,ARS,0.0,0,103,103,764,764,0.0,0.0,Koscielny,0
0,0,0,75,75,0,17127,0,0,0,0,0.0,0,0,75,2,2,Defender,DEF,2.3,1.9,0,Per,0.0,0,0,ism-icon--info--75,0.0,5,False,0.0,poss_75,True,False,0,0,0,0,0,Facial Injury - 75% chance of playing,STK (A),50,0,0,0,17127.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/17127.jpg,0.0,0,0,mertesacker,Mertesacker,0.6,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,4,d,1,3,Arsenal,ARS,0.0,0,90,90,658,658,0.0,0.0,Mertesacker,0
0,0,0,25,25,0,158074,0,0,0,0,0.0,0,0,25,2,2,Defender,DEF,0.8,0.6,0,Gabriel Armando,0.0,0,0,ism-icon--info--25,0.0,6,False,0.0,poss_25,True,False,0,0,0,0,0,Knee injury - 25% chance of playing,STK (A),50,0,0,0,158074.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/158074.jpg,0.0,0,0,gabriel,de Abreu,0.0,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,5,d,1,3,Arsenal,ARS,0.0,0,20,20,71,71,0.0,0.0,Gabriel,0
0,0,9,,,0,98745,0,0,0,0,27.4,0,0,,2,2,Defender,DEF,4.0,3.5,1,Héctor,1.0,3,0,ism-icon--info,7.0,7,False,17.2,,True,False,0,0,0,0,90,,STK (A),60,0,0,0,98745.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/98745.jpg,1.0,0,0,bellerin,Bellerín,15.0,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,24,a,1,3,Arsenal,ARS,25.0,1,2104,2104,4142,4142,0.2,0.2,Bellerín,0
0,0,0,75,75,0,42427,0,0,0,0,0.0,0,0,75,2,2,Defender,DEF,2.3,1.9,0,Kieran,0.0,0,0,ism-icon--info--75,0.0,8,False,0.0,poss_75,True,False,0,0,0,0,0,Illness - 75% chance of playing,STK (A),50,0,0,0,42427.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/42427.jpg,0.0,0,0,gibbs,Gibbs,0.2,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,3,d,1,3,Arsenal,ARS,0.0,0,28,28,227,227,0.0,0.0,Gibbs,0
0,0,0,,,0,80254,0,0,0,0,0.0,0,0,,2,2,Defender,DEF,2.5,2.0,0,Carl,0.0,0,0,ism-icon--info,0.0,9,False,0.0,,True,False,0,0,0,0,0,,STK (A),45,0,0,0,80254.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/80254.jpg,0.0,0,0,jenkinson,Jenkinson,0.4,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,25,a,1,3,Arsenal,ARS,0.0,0,125,125,331,331,0.0,0.0,Jenkinson,0
0,0,24,,,0,38411,0,0,0,0,1.3,0,0,,2,2,Defender,DEF,3.6,3.1,1,Nacho,1.0,3,0,ism-icon--info,3.2,10,False,30.2,,True,False,0,0,0,0,90,,STK (A),55,0,0,0,38411.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/38411.jpg,1.0,0,0,monreal,Monreal,5.8,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,18,a,1,3,Arsenal,ARS,0.0,1,987,987,1781,1781,0.2,0.2,Monreal,0
