Name,Team,Position,Cost,Creativity,Influence,Threat,ICT,Goals_conceded,Goals_scored,Assists,Own_goals,Penalties_missed,Penalties_saved,Saves,Yellow_cards,Red_cards,TSB,Minutes,Bonus,Points
Abraham,CHE,FWD,54,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Adam Smith,BOU,DEF,45,70.2,172.4,51.0,29.4,12,1,0,0,0,0,0,1,1,0.8,965,0,37
Adrian,WHU,GKP,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Aguero,MCI,FWD,115,260.3,388.8,741.0,138.9,5,8,6,0,0,0,0,2,0,53.6,875,9,80
Ake,BOU,DEF,50,12.7,306.4,161.0,48.0,16,1,0,0,0,0,0,0,0,4.9,1080,4,43
Albrighton,LEI,MID,52,165.0,130.2,131.0,42.7,7,1,1,0,0,0,0,1,0,0.4,491,0,22
Alderweireld,TOT,DEF,59,35.8,224.4,63.0,32.3,9,0,0,0,0,0,0,1,0,2.8,980,2,40
Alexander-Arnold,LIV,DEF,51,194.4,180.4,109.0,48.3,4,0,2,0,0,0,0,3,0,20.1,895,4,51
Alisson,LIV,GKP,57,0.0,210.0,0.0,20.9,5,0,0,0,0,0,25,0,0,20.2,1080,1,57
Alli,TOT,MID,89,67.8,118.6,203.0,39.0,5,1,1,0,0,0,0,0,0,2.6,466,2,24
Alonso,CHE,DEF,71,242.5,272.0,208.0,72.3,8,1,7,0,0,0,0,1,0,47.9,1080,14,86
Amartey,LEI,MID,44,46.7,139.0,21.0,20.8,9,0,0,0,0,0,0,2,0,0.2,639,0,15
Amos,TOT,MID,44,0.1,2.2,0.0,0.2,0,0,0,0,0,0,0,0,0,0.1,2,0,1
Ampadu,CHE,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Andone,BHA,FWD,50,0.5,4.6,0.0,0.5,1,0,0,0,0,0,0,0,0,0.1,40,0,2
Andre Gomes,EVE,MID,54,27.3,34.0,49.0,11.1,3,0,0,0,0,0,0,0,0,0.1,351,0,10
Antonio,WHU,MID,68,76.2,68.2,257.0,39.8,6,0,2,0,0,0,0,1,0,0.8,430,0,22
Armstrong,SOU,MID,51,71.3,29.6,47.0,14.8,4,0,0,0,0,0,0,0,0,0.1,224,0,10
Arnautovic,WHU,FWD,71,199.4,256.8,448.0,90.0,14,5,2,0,0,0,0,2,0,21.6,809,9,52
Arter,CAR,MID,49,74.6,82.6,44.0,20.2,16,0,0,0,0,0,0,5,0,0.2,748,0,14
Atsu,NEW,MID,51,61.3,40.8,25.0,12.7,3,0,0,0,0,0,0,1,0,0.1,196,0,7
Aubameyang,ARS,FWD,109,149.3,300.0,345.0,79.3,11,7,2,0,0,0,0,0,0,15.1,850,11,67
Aurier,TOT,DEF,58,41.3,51.6,8.0,10.1,1,0,1,0,0,0,0,0,0,0.6,170,0,12
Austin,SOU,FWD,55,52.7,43.8,156.0,24.9,4,0,0,0,1,0,0,0,0,0.4,453,0,11
Ayew,CRY,FWD,57,81.3,40.8,150.0,27.2,6,0,1,0,0,0,0,1,0,0.2,559,0,17
Ayite,FUL,MID,43,5.4,8.4,9.0,2.0,3,0,0,0,0,0,0,0,0,0.1,104,0,4
Azpilicueta,CHE,DEF,63,201.1,232.8,67.0,50.2,8,0,1,0,0,0,0,0,0,9.7,1080,1,50
Bacuna,HUD,MID,43,0.3,3.0,0.0,0.3,1,0,0,0,0,0,0,0,0,0.2,13,0,2
Bailly,MUN,DEF,51,0.7,35.6,4.0,4.1,6,0,0,0,0,0,0,0,0,1.5,200,0,5
Baines,EVE,DEF,51,74.7,39.8,15.0,13.0,5,0,0,0,0,0,0,0,0,0.7,284,0,5
Bakayoko,CHE,MID,49,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Balbuena,WHU,DEF,44,35.0,306.2,139.0,48.2,18,1,0,0,0,0,0,1,0,0.9,1080,3,31
Baldock,BHA,FWD,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Balogun,BHA,DEF,42,0.3,34.2,2.0,3.6,3,0,0,0,0,0,0,1,0,0.1,160,0,2
Bamba,CAR,DEF,45,24.0,318.0,158.0,50.0,20,2,1,0,0,0,0,1,0,1.2,990,4,40
Baningime,EVE,MID,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Bardsley,BUR,DEF,42,18.9,31.2,1.0,5.1,3,0,0,0,0,0,0,2,0,0.1,180,0,1
Barkley,CHE,MID,60,111.5,188.8,182.0,48.0,6,3,3,0,0,0,0,0,0,8.8,459,5,47
Barnes,BUR,FWD,57,41.1,83.2,86.0,20.9,6,2,0,0,0,0,0,1,0,0.4,284,3,22
Batth,WOL,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.9,0,0,0
Bednarek,SOU,DEF,39,0.6,38.6,0.0,4.0,1,0,0,0,0,0,0,0,0,4.0,80,0,2
Begovic,BOU,GKP,45,0.0,239.2,0.0,24.0,16,0,0,0,0,0,33,0,0,4.2,1080,2,41
Bellerin,ARS,DEF,54,150.5,204.4,171.0,52.5,14,0,4,1,0,0,0,2,0,10.7,1035,3,39
Benalouane,LEI,DEF,39,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0
Benkovic,LEI,DEF,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Bennett,WOL,DEF,42,66.3,223.6,72.0,36.1,13,0,0,0,0,0,0,3,0,11.7,1080,1,34
Bennett,CAR,DEF,45,115.5,165.0,13.0,29.4,17,0,1,0,0,0,0,0,0,0.6,810,2,24
Benteke,CRY,FWD,63,50.7,14.2,170.0,23.3,5,0,0,0,0,0,0,0,0,0.5,325,0,8
Bernard,EVE,MID,59,172.2,74.6,40.0,28.5,5,0,2,0,0,0,0,2,0,0.3,418,2,22
Bernardo,BHA,DEF,42,15.8,31.0,0.0,4.7,2,0,0,0,0,0,0,1,0,0.1,112,0,1
Bernardo Silva,MCI,MID,75,367.6,289.8,330.0,98.8,4,3,3,0,0,0,0,2,0,7.7,960,6,56
