    ID,    Web Name,    Player ID,    Full Name,    Team,    News,    Position,    Current Price,    Value Season,    Cost Change from Start,    Percentage selected by,    Transfers In,    Transfers Out,    Total Points,    Points Per Game,    Minutes,    Goals Scored,    Assists,    Clean Sheets,    Goals Conceded,    Own Goals,    Penalties Saved,    Penalties Missed,    Yellow Cards,    Red Cards,    Saves,    Bonus Points,    Bonus Point System Score,    Influence,    Creativity,    Threat,        ICT Index,    EA Index,
            1,        Ospina,        48844,        David Ospina,        3,        ,        1,        48,        4.0,        -2,        0.2,        3948,        10172,        19,        3.8,        380,        0,        0,        2,        3,        0,        0,        0,        0,        0,        9,        1,        86,        75.8,        0.0,        0.0,        7.7,        0,    
                2,        Cech,        11334,        Petr Cech,        3,        ,        1,        53,        23.4,        -2,        4.5,        183262,        294471,        124,        3.6,        3039,        0,        0,        11,        48,        0,        1,        0,        1,        0,        90,        7,        627,        722.4,        0.0,        0.0,        71.9,        0,    
                3,        Martinez,        98980,        Damian Emiliano Martinez,        3,        Season-long loan to Getafe,        1,        40,        0.0,        0,        0.6,        1506,        29335,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,        0,    
                4,        Koscielny,        51507,        Laurent Koscielny,        3,        Achilles injury - Unknown return date,        2,        60,        16.7,        0,        1.5,        205878,        199153,        100,        4.0,        2225,        2,        0,        9,        32,        0,        0,        0,        4,        0,        0,        16,        556,        692.0,        123.8,        137.0,        95.5,        0,    
                5,        Mertesacker,        17127,        Per Mertesacker,        3,        ,        2,        47,        3.4,        -3,        0.5,        31711,        46441,        16,        2.7,        364,        1,        0,        0,        7,        0,        0,        0,        0,        0,        0,        2,        81,        119.6,        3.0,        38.0,        16.1,        0,    
                6,        Gabriel,        158074,        Gabriel Armando de Abreu,        3,        Joined Valencia on 18/8,        2,        50,        0.0,        0,        0.1,        368,        2365,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,        0,    
                7,        Bellerín,        98745,        Héctor Bellerín,        3,        ,        2,        59,        22.4,        -1,        10.3,        748052,        960552,        132,        3.8,        3050,        2,        4,        12,        44,        0,        0,        0,        5,        0,        0,        11,        656,        554.0,        561.0,        484.0,        160.1,        0,    
                9,        Jenkinson,        80254,        Carl Jenkinson,        3,        Season-long loan to Birmingham,        2,        45,        0.0,        0,        0.2,        751,        13677,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,        0,    
                10,        Monreal,        38411,        Nacho Monreal,        3,        ,        2,        57,        22.8,        2,        8.0,        1603695,        1476893,        130,        4.6,        2241,        5,        2,        10,        29,        0,        0,        0,        3,        0,        0,        15,        604,        693.6,        238.7,        305.0,        124.0,        0,    
                11,        Holding,        156074,        Rob Holding,        3,        ,        2,        44,        6.1,        -6,        0.7,        29403,        111188,        27,        2.3,        819,        0,        1,        3,        17,        0,        0,        0,        3,        0,        0,        1,        196,        212.2,        39.3,        24.0,        27.5,        0,    
                12,        Mustafi,        69140,        Shkodran Mustafi,        3,        ,        2,        54,        20.2,        -1,        4.2,        593921,        492651,        109,        4.0,        2272,        3,        1,        10,        30,        0,        0,        0,        6,        0,        0,        13,        610,        836.6,        129.9,        202.0,        117.0,        0,    
                13,        Kolasinac,        111457,        Sead Kolasinac,        3,        ,        2,        58,        18.6,        -2,        6.1,        833275,        1171952,        108,        4.0,        2146,        2,        4,        10,        30,        0,        0,        0,        3,        0,        0,        6,        510,        443.2,        334.9,        404.0,        118.3,        0,    
                16,        Özil,        37605,        Mesut Özil,        3,        Back injury - 25% chance of playing,        3,        93,        12.0,        -2,        2.1,        358328,        408304,        112,        4.3,        2161,        4,        9,        8,        36,        0,        0,        0,        4,        0,        0,        11,        506,        640.6,        1287.5,        555.0,        248.6,        0,    
                17,        Cazorla,        19524,        Santiago Cazorla,        3,        Achilles injury - Unknown return date,        3,        69,        0.0,        -1,        0.1,        1181,        2659,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,        0,    
                18,        Ramsey,        41792,        Aaron Ramsey,        3,        ,        3,        68,        19.1,        -2,        4.5,        1257144,        1139322,        130,        5.4,        1844,        7,        10,        9,        25,        0,        0,        0,        0,        0,        0,        12,        503,        631.2,        478.3,        734.0,        184.2,        0,    
                20,        Coquelin,        56864,        Francis Coquelin,        3,        Transferred to Valencia,        3,        43,        1.6,        -2,        0.5,        15808,        41507,        7,        1.0,        164,        0,        0,        0,        6,        0,        0,        0,        0,        0,        0,        0,        35,        22.2,        16.9,        8.0,        4.8,        0,    
                21,        Iwobi,        153133,        Alex Iwobi,        3,        ,        3,        51,        17.5,        -4,        1.0,        127206,        223267,        89,        3.4,        1827,        3,        5,        9,        26,        0,        0,        0,        1,        0,        0,        2,        426,        430.0,        592.9,        635.0,        165.6,        0,    
                22,        Elneny,        153256,        Mohamed Elneny,        3,        Ankle injury - Unknown return date,        3,        42,        5.2,        -3,        3.0,        309421,        356216,        22,        1.7,        865,        0,        1,        3,        12,        0,        0,        0,        3,        1,        0,        0,        156,        138.2,        194.4,        92.0,        42.5,        0,    
                23,        Xhaka,        84450,        Granit Xhaka,        3,        ,        3,        51,        21.4,        -4,        7.0,        987715,        1106599,        109,        2.9,        3259,        1,        8,        12,        50,        0,        0,        0,        10,        0,        0,        3,        593,        753.4,        822.8,        378.0,        195.3,        0,    
